"KOD";"PORC_ADB";"CIS_ADB";"CP";"PPC";"PUV_ZN";"AUTOR_ADB";"INST_ADB";"ROK_ADB";"TVAR_ADB";"HROB";"KULT1";"KULT2";"KULT3";"KULT4";"KULT5";"KULT6";"POZN_ADB";"V_SYST"
"P1/PRAHA - NO/2011/575";2;0;"1308";"555";"V2";"Starec P.";"MM Praha";"2011";"P";0;"-";"vs.2";"no.1";;;;;"B"
"P1/PRAHA - NO/2011/579";1;0;;"2400";"øez 1";"Cymbalak T.";"NPÚ Praha";"2011";"B";0;"no.2";;;;;;"Severní, západní a jiní stìna vıkopu byla v celém rozsahu tvoøena recentním zásypem plynovodu. Vıchodní profil pøedstavoval západní líc opukové terasní zdi vztahující se k vıstavbì Františkova nábø. A Øetìzového mostu císaøe Františka I. (1839-41).";"B"
"P1/PRAHA - NO/2011/579";2;0;;"2400";"Sonda 1";"Cymbalak T.";"NPÚ Praha";"2011";"P";0;"no.2";;;;;;"Dokumentovaná situace obsahující novovìké stavební konstrukce (Z01, Z02, Z03) a svrchní èást nájezdové rampy k øetìzovému mostu císaøe Františka I. (pol. 19. století) a i snad souvrství pùvodní komunikace Nábøeí císaøe Františka I, byla vıraznì ponièena recentními vıkopy (in. Sítì). Vzhledem k hloubce vıkopu (-2,6 m od povrchu souèasné komunikace 189,70 m Bpv.), povrch geologického podloí nebyl zjištìn.";"B"
"P1/PRAHA - NO/2011/579";3;0;;"2400";"Sonda 2";"Cymbalak T.";"NPÚ Praha";"2011";"P";0;"no.2";;;;;;"V rámci cca 5,5 m hlubokého vıkopu byla dokumentovaná jeho jiní stìna (øez R03 - úsek mezí souè. nábøení zdi Vltavy a zákl. vıkopem pro obvodové zdivo Prozatímního divadla). Celková délka dokumentovaného terénního profilu èinila 15,21 m, v jeho svrchní èásti byly uloeny èetné inenırské sítì smìøující ze severu na jih, kresebná dokumentace profilu byla realizovaná od jejich spodních úrovní (cca 187,50 m Bpv). K vıraznìjším situacím v této sondì patøi pùvodní nábøení zeï Františkova nábø. (Z05 - vystavìna ve 40. letech 19. stol. z oprac. ulovıch kvádrù cca 120x50x40 cm). Celk. šíøka staré nábø. zdi èinila 1 m a její max. dochovaná vıška dosahovala 4,4 m. Konstr. byla orientovaná rovnobìnì se souèasnou nábøení zdi v S-J smìru a od obvodové zdi Nár. divadla byla vzdálena cca 10,6 m. Cca 0,8 m vıchodnì od Z05 dokumentováno ještì jednou zeï (Z06 - lomová opuka a cihly pojené svìtle šedou maltou; min. šíøka cca 0,6 m; pravdìpodobnì spodní èást pùv. nábø. zdi (Z05), nebo ohradní zeï bıv. èp. 224.";"B"
"P1/PRAHA - NO/2012/401";1;0;;"2373";"Kanalizaèní šachta";"Starec P.";"MM Praha";"2012";"P";0;"vs.1";"vs.2";;;;;;"B"
"P1/PRAHA - NO/2012/422";1;0;;"2377/1";"Kanalizaèní šachta";"Starec P.";"MM Praha";"2012";"P";0;"vs.1";"vs.2";"novove";;;;;"B"
"P1/PRAHA - NO/2012/717";1;0;"131";"848";;"Cymbalak T.";"NPÚ Praha";"2012";"P";0;"rs/vs";"vs/no";"vstred";"novove";;;"Na celé ploše domovní parcely intaktní historické terény (ranı støedovìk a souèasnost; zahloubené objekty, pyrotechnologické zaøízení, roubením doplnìná zdìná stavba, zdìné konstrukce. Mocnost terénù cca 2 m.";"B"
"P1/PRAHA - NO/2012/738";1;0;;"725/1";"plocha 700";"Cymbalak T.";"NPÚ Praha";"2012";"P";0;"rs/vs";"vs.1";"vs.2";"no.1";"no.2";;;"B"
"P1/PRAHA - NO/2012/738";2;0;;"725/1";"plocha 800";"Cymbalak T.";"NPÚ Praha";"2012";"P";0;"novove";"no.2";;;;;;"B"
"P1/PRAHA - NO/2012/738";3;0;;"725/1";"øez R098 (sonda 368)";"Cymbalak T.";"NPÚ Praha";"2012";"B";0;"no.1";;;;;;"Odpadní jímka ètvercového tvaru.";"B"
"P1/PRAHA - NO/2012/738";4;0;;"725/1";"øez 222, 223, 224";"Cymbalak T.";"NPÚ Praha";"2012";"L";1;"rs/vs";"vstred";"novove";;;;;"B"
"P1/PRAHA - NO/2012/827";1;0;"751";"662";"S01";"Flek F.";"NPÚ Praha";"2012";"P";1;"novove";;;;;;"Hrobka s uloením ostatkù 14 muèedníkù.";"B"
"P1/PRAHA - NO/2012/827";2;0;"751";"662";"S02";"Podliska J.";"NPÚ Praha";"2012";"P";1;"novove";;;;;;"Základ pro nové varhany.";"B"
"P1/PRAHA - NO/2012/827";3;0;"751";"662";"S03";"Podliska J.";"NPÚ Praha";"2012";"P";1;"novove";;;;;;"Úprava podlahy (dokumentace 3 neznámıch náhrobníkù z 1. pol. 17. stol.).";"B"
"P1/PRAHA - NO/2013/675";1;0;;;"vıchodní a jiní";"Selmi Wallisová";;"2013";"P";0;"vstred";;;;;;"P.p.è. 858, 859/1.";"B"
"P1/PRAHA - NO/2013/729";1;0;;"2384";"Sonda I";"Staòková V.";"NPÚ Praha";"2013";"P";1;"rs.3";"rs.4";"vs.1";"vs.2";"novove";;"Kanalizaèní šachta.";"B"
"P1/PRAHA - NO/2013/729";2;0;;"2384";"Sonda II";"Staòková V.";"NPÚ Praha";"2013";"P";0;"rs.3";"no.2";;;;;"Pøeloení kanalizaèní šachty.";"B"
"P1/PRAHA - NO/2013/920";1;0;;"2384";"Sonda I";"Staòková V.";"NPÚ Praha";"2013";"P";0;"vs.2";"no.2";;;;;"Vodovod.";"B"
"P1/PRAHA - NO/2013/920";2;0;;"2384";"Sonda II";"Staòková V.";"NPÚ Praha";"2013";"P";1;"rs/vs";"vs.2";;;;;"Kanalizaèní šachta.";"B"
"P1/PRAHA - ST/2010/149";1;0;"190";"81";"sonda V";"Havrda J.";"NPÚ Praha";"2010";"P";0;"vs-no";;;;;;;"B"
"P1/PRAHA - ST/2010/187";1;0;;"121";"R01";"Havrda J.";"NPÚ Praha";"2010";"L";0;"st-no";;;;;;"Maiselova ul. Vıkop pøed è.p. 41/V hlubokı 1,8 m. Od hloubky 1,4 m souvrství patrnì vrcholnì støedovìkého stáøí.";"B"
"P1/PRAHA - ST/2010/187";2;0;;"121";"R02";"Havrda J.";"NPÚ Praha";"2010";"L";0;"vstred";;;;;;"Vıkop na køiovatce Maiselovy a Èervené ulice hlubokı 2 m. Od hloubky 1,4 m (187,12 m) souvrství  vrcholnì støedovìkého stáøí (keramika 2.pol. 13. - 14. stol.). Spodní partie dokumentované tvoøí patrnì vıplò objektu, nelze však i vylouèit, e se jedná o pøírodní depresi zaplnìnou a ve  støedovìku. Stejná vıplò pokraèovala a na niveletu 185,24 m (ovìøeno ruèním vrtákem).";"B"
"P1/PRAHA - ST/2010/187";3;0;;"125";"R03";"Havrda J.";"NPÚ Praha";"2010";"B";0;"novove";"vstred";;;;;"Vıkop u sz rohu Staronové synagógy. V hloubce 0,7 m dokumentována  dlaba z køemencù v písèitém loi. Ta pøekryla objekt s keramikou 12. - 13. stol.Vrtákem ovìøena stejná vıplò a po niveletu 185,85 m.";"B"
"P1/PRAHA - ST/2010/187";4;0;;"1051";"R04";"Havrda J.";"NPÚ Praha";"2010";"L";0;"st-no";;;;;;"Salvátorská, pøed è.p. 925/I. Dokumentován øez v liniovém vıkopu. V hloubce 1 m zaznamenána valounová dlaba. Jedna z odkrytıch zdìnıch konstrukcí mìla rozhraní zákl. a nadzemního zdiva v hloubce 1,5m.";"B"
