"KOD";"AUTORI";"TITUL";"MISTO";"CASOP";"ROCNIK";"ROK";"STR"
"NB/TØEBESTOVI/    /800";;"BZO 6 1968, str.158";;;;;
"NB/TATCE     /    /788";;"BZO 6 1968, str.156-7";;;;;
"NB/TATCE     /    /791";;"BZO 6 1968, str.156-7";;;;;
"ST/STRAKONICE/    /292";;"BZO 6 1968, str.152n";;;;;
"PZ/ROZTOKY   /    /665";;"BZO 6 1968, str.139-140";;;;;
"TA/RATAJE    /    /443";;"BZO 6 1968, str.137";;;;;
"TA/BECHYNÌ   /    /379";;"BZO 6 1968, str.12";;;;;
"KH/POLIPSY   /    /126";;"BZO 6 1968, str.103n.";;;;;
"LN/PODBOØANY /    /559";;"BZO 6 1968, str.102";;;;;
"KO/KOUØIM    /    /106";;"BZO 6 1968";;;;;
"PJ/HOØEHLEDY /    /519";;"BZO 6 ('68),36 (K. Skrabek)";;;;;
"PJ/NETUNICE  /    /567";;"BZO 6 (1968),88 (Skrabek) s lit.";;;;;
"PJ/LIBÁKOVICE/    /544";;"BZO 6 (1968),69 (Skrabek)";;;;;
"PJ/CHVÁLENICE/    /531";;"BZO 6 (1968),50 (Skrabek)";;;;"1968";
"PS/BØEZÍN    /    /771";;"BZO 6 (1968),18 (Doubova-Benes)";;;;;
"PJ/VLÈICE    /    /653";;"BZO 6 (1968),166 (Skrabek)";;;;;
"TP/HOSTOMICE /1967/712";;"BZO 6";;;;;"39-40"
"CH/CHEB      /    /686";;"BZO 5,1967,15";;;;;
"LN/LIBÈEVES  /    /368";;"BZO 5 1977, str.22";;;;;
"RA/MŠECKÉ EH/    /783";;"BZO 5 1967,72n.";;;;;
"CV/BÌŠICE    /    /018";;"BZO 5 1967, str.6";;;;;
"CV/BÌŠICE    /    /023";;"BZO 5 1967, str.5";;;;;
"CV/LOMAZICE  /    /169";;"BZO 5 1967, str.23";;;;;
"CV/POLÁKY    /    /211";;"BZO 5 1967, str.23";;;;;
"CV/CHOTÌNICE /    /100";;"BZO 5 1967, str.16";;;;;
"CV/CHOTÌNICE /    /101";;"BZO 5 1967, str.16";;;;;
"KO/KOUØIM    /    /106";;"BZO 5 1967";;;;;
"RA/NESUCHYNÌ /    /824";;"BZO 4 1966,83-84";;;;;
"BE/VELKÁ VÍSK/    /310";;"BZO 4 1966,25";;;;;
"RA/MILOSTÍN  /    /758";;"BZO 4 1966, str.91";;;;;
"RA/NESUCHYNÌ /    /832";;"BZO 4 1966, str.79-80";;;;;
"RA/NESUCHYNÌ /    /830";;"BZO 4 1966, str.78";;;;;
"NB/STUDCE    /    /786";;"BZO 4 1966, str.24";;;;;
"NB/ODØEPSY   /    /537";;"BZO 4 1966, str.20";;;;;
"NB/MCELY     /    /476";;"BZO 4 1966, str.18";;;;;
"NB/LYSÁ NAD L/    /471";;"BZO 4 1966, str.17";;;;;
"NB/KOSTOMLATY/    /400";;"BZO 4 1966, str.15";;;;;
"NB/KOSTOMLATY/    /408";;"BZO 4 1966, str.15";;;;;
"KT/KØENICE   /    /748";;"BZO 4 (l966),16";;;;;
"KT/HEJNÁ     /    /705";;"BZO 4 (1966),11";;;;;
"MB/BAKOV NAD /    /704";;"BZO 3 1965,7";;;;;
"LT/PØEDONÍN  /    /470";;"BZO 3 1965,3";;;;;
"CH/HORNÍ LOMA/    /671";;"BZO 3 1965,13";;;;;
"CK/BOLETICE  /    /813";;"BZO 3 1965, str.8";;;;;
"NB/EHUÒ     /    /859";;"BZO 3 1965, str.40";;;;;
"NB/PØEROV NAD/    /683";;"BZO 3 1965, str.30-31";;;;;
"MO/PATOKRYJE /    /220";;"BZO 3 1965, str.26";;;;;
"MO/PATOKRYJE /    /221";;"BZO 3 1965, str.26";;;;;
"NB/KOLAJE    /    /391";;"BZO 3 1965, str.18";;;;"1965";
"KO/KLÁŠTERNÍ /    /996";;"BZO 3 1965, str.17";;;;;
"MO/KAMENNÁ VO/    /018";;"BZO 3 1965, str.16";;;;;
"MO/KAMENNÁ VO/1974/050";;"BZO 3";;;;;"47 a"
"JC/KOSTELEC  /1999/423";;"BZO 1996-97";;;;;"77"
"JC/SEDLIŠTÌ  /1999/257";;"BZO 1996-97";;;;"1995";"55"
"JC/VAICE    /1999/311";;"BZO 1996-97";;;;"1995";"235"
"JC/KAL       /1999/539";;"BZO 1990-92";;;;;"128"
"ME/MÌLNÍK    /1989/032";;"BZO 1990-92";;;;;"201"
"LN/CHOTÌBUDIC/1988/338";;"BZO 1988/89, 49 (144)";;;;;
"LN/CHOTÌBUDIC/1988/335";;"BZO 1988/89, 48 (143)";;;;;
"TP/HRDLOVKA  /1989/338";;"BZO 1988/89, 46 (130)";;;;;
"TP/HRDLOVKA  /1989/335";;"BZO 1988/89, 45 (128)";;;;;
"TP/HRDLOVKA  /1988/332";;"BZO 1988/89, 44 (127)";;;;;
"MO/HOLEŠICE  /1988/329";;"BZO 1988/89, 39 (108)";;;;;
"DC/DÌÈÍN     /1988/325";;"BZO 1988/89, 27 (62)";;;;;
"DC/DÌÈÍN     /1988/326";;"BZO 1988/89, 27 (60)";;;;;
"LN/BØEZNO    /1988/323";;"BZO 1988/89, 21 (37)";;;;;
"LN/BØEZNO    /1988/322";;"BZO 1988/89, 21 (33)";;;;"1989";
"ST/BUZICE    /    /056";;"BZO 1987-89, str.15";;;;"1989";
"ST/LIBÌTICE  /    /172";;"BZO 1987-79, str.67";;;;"1989";
"TA/CHİNOV    /    /412";;"BZO 1987-79, str.43";;;;;
"ST/STRAKONICE/    /292";;"BZO 1987-79, str.124";;;;;
"BE/HİSKOV    /1987/254";;"BZO 1986-87";;;;;"61"
"BE/CHODOUÒ   /1987/553";;"BZO 1986-87";;;;;"62-63"
"BN/CHOCERADY /1987/339";;"BZO 1986-87";;;;;"80"
"BN/KØIVSOUDOV/1986/216";;"BZO 1986-87";;;;"1989";"91"
"BN/KØIVSOUDOV/1986/239";;"BZO 1986-87";;;;"1989";"91"
"CR/HROCHÙV Tİ/1986/728";;"BZO 1986-87";;;;"1989";"58"
"CR/HROCHÙV Tİ/1986/734";;"BZO 1986-87";;;;"1989";"58"
"CR/HROCHÙV Tİ/1986/739";;"BZO 1986-87";;;;"1989";"58"
"CR/HROCHÙV Tİ/1986/743";;"BZO 1986-87";;;;"1989";"58"
"CR/HROCHÙV Tİ/1987/718";;"BZO 1986-87";;;;"1989";"58"
"CR/HROCHÙV Tİ/1987/749";;"BZO 1986-87";;;;"1989";"58"
"CR/CHRUDIM   /1986/004";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/019";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/024";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/126";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/133";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/141";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/147";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/154";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/206";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/214";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/222";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/230";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/240";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/246";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/252";;"BZO 1986-87";;;;"1989";"64-66"
"CR/CHRUDIM   /1986/259";;"BZO 1986-87";;;;"1989";"64-66"
"CR/KOÈÍ      /1986/128";;"BZO 1986-87";;;;"1989";"78-79"
"CR/KOÈÍ      /1986/901";;"BZO 1986-87";;;;"1989";"78-79"
"CR/KOÈÍ      /1986/909";;"BZO 1986-87";;;;"1989";"78-9"
"CR/KOSTELEC U/1986/815";;"BZO 1986-87";;;;"1989";"82"
"HB/CHOTÌBOØ  /1986/603";;"BZO 1986-87";;;;"1989";"63"
"HB/LIPNICE   /1987/635";;"BZO 1986-87";;;;"1989";"105"
"HK/HLUŠICE   /1987/549";;"BZO 1986-87";;;;"1989";"47"
"HK/HLUŠICE   /1987/600";;"BZO 1986-87";;;;"1989";"47"
"HK/HLUŠIÈKY  /1987/607";;"BZO 1986-87";;;;"1989";"47"
"HK/HNÌVÈEVES /1987/815";;"BZO 1986-87";;;;"1989";"47-48"
"HK/HNÌVÈEVES /1987/822";;"BZO 1986-87";;;;"1989";"47-48"
"HK/HNÌVÈEVES /1987/827";;"BZO 1986-87";;;;"1989";"47-48"
"HK/HNÌVÈEVES /1987/835";;"BZO 1986-87";;;;"1989";"47-48"
"HK/HNÌVÈEVES /1987/841";;"BZO 1986-87";;;;"1989";"47"
"HK/HOLOHLAVY /1986/057";;"BZO 1986-87";;;;"1989";"48"
"HK/HOLOHLAVY /1986/108";;"BZO 1986-87";;;;"1989";"49"
"HK/HOLOHLAVY /1986/115";;"BZO 1986-87";;;;"1989";"49"
"HK/HOLOHLAVY /1986/122";;"BZO 1986-87";;;;"1989";"48"
"HK/HORNÍ ÈERN/1987/133";;"BZO 1986-87";;;;"1989";"50"
"HK/HRADEC KRÁ/1986/935";;"BZO 1986-87";;;;"1989";"56"
"HK/HRADEC KRÁ/1987/010";;"BZO 1986-87";;;;"1989";"56"
"HK/HRADEC KRÁ/1987/944";;"BZO 1986-87";;;;"1989";"56"
"JC/HORNÍ LOCH/1986/153";;"BZO 1986-87";;;;"1989";"50"
"JC/HOØICE    /1986/335";;"BZO 1986-87";;;;"1989";"52"
"JC/HOØICE    /1987/341";;"BZO 1986-87";;;;"1989";"52"
"JC/HOØICE    /1987/346";;"BZO 1986-87";;;;"1989";"52"
"JC/JEØICE    /1986/741";;"BZO 1986-87";;;;"1989";"69-70"
"JC/JEØICE    /1986/821";;"BZO 1986-87";;;;"1989";"69-70"
"JC/JEØICE    /1987/810";;"BZO 1986-87";;;;"1989";"69-70"
"JC/JEØICE    /1987/850";;"BZO 1986-87";;;;"1989";"69-70"
"JC/JIÈÍN     /1986/320";;"BZO 1986-87";;;;"1989";"71"
"JC/KAL       /1986/543";;"BZO 1986-87";;;;"1989";"75-6"
"JC/KAL       /1986/608";;"BZO 1986-87";;;;"1989";"75-6"
"JC/MILOVICE  /1996/315";;"BZO 1986-87";;;;"1989";"115"
"JC/VOTUZ     /1986/532";;"BZO 1986-87";;;;"1989";"69-70"
"JC/ZÁHUBY    /1997/402";;"BZO 1986-87";;;;"1989";
"KL/HOØEŠOVICE/1987/307";;"BZO 1986-87";;;;"1989";"52"
"KL/KNOVÍZ    /1987/845";;"BZO 1986-87";;;;"1989";"78"
"KL/KOVÁRY    /1986/135";;"BZO 1986-87";;;;"1989";"83"
"KL/KOVÁRY    /1986/939";;"BZO 1986-87";;;;"1989";"83-4"
"KL/KOVÁRY    /1987/142";;"BZO 1986-87";;;;"1989";"83-84"
"KL/MAKOTØASY /1986/835";;"BZO 1986-87";;;;"1989";"227"
"LN/BØEZNO    /1987/318";;"BZO 1986-87";;;;"1989";"227"
"LN/DOLÁNKY   /1986/714";;"BZO 1986-87";;;;"1989";"226"
"LN/CHOTÌBUDIC/1986/727";;"BZO 1986-87";;;;"1989";"63"
"LN/CHOTÌBUDIC/1986/802";;"BZO 1986-87";;;;"1989";"226"
"LN/CHOTÌBUDIC/1987/753";;"BZO 1986-87";;;;"1989";"63"
"LN/CHRAŠANY /1986/827";;"BZO 1986-87";;;;"1989";"64"
"LN/CHRAŠANY /1986/927";;"BZO 1986-87";;;;"1989";"64"
"LN/CHRAŠANY /1986/933";;"BZO 1986-87";;;;"1989";"64"
"LN/KAŠTICE   /1986/614";;"BZO 1986-87";;;;"1989";"76"
"LN/KAŠTICE   /1986/633";;"BZO 1986-87";;;;"1989";"76"
"LN/KLIÈÍN    /1986/719";;"BZO 1986-87";;;;"1989";"77-78"
"LN/KNÌICE   /1986/814";;"BZO 1986-87";;;;"1989";"78"
"LN/KOZLY     /1987/258";;"BZO 1986-87";;;;"1989";"84"
"LN/KOZLY     /1987/258";;"BZO 1986-87";;;;"1989";"84"
"LN/KOZLY     /1987/307";;"BZO 1986-87";;;;"1989";"84"
"LN/POSTOLOPRT/1986/757";;"BZO 1986-87";;;;"1989";"226"
"LT/HOSTÌNICE /1987/855";;"BZO 1986-87";;;;"1989";"52"
"LT/HOSTÌNICE /1987/906";;"BZO 1986-87";;;;"1989";
"LT/HOSTÌNICE /1987/906";;"BZO 1986-87";;;;"1989";"52"
"LT/KLAPİ     /1987/713";;"BZO 1986-87";;;;"1989";"76-7"
"ME/HOØÍN     /1987/702";;"BZO 1986-87";;;;"1989";"52"
"NA/HOØENICE  /1986/226";;"BZO 1986-87";;;;"1989";"51"
"NA/HOØENICE  /1986/325";;"BZO 1986-87";;;;"1989";"51"
"PA/JEZBOØICE /1986/006";;"BZO 1986-87";;;;"1989";"70-71"
"PA/JEZBOØICE /1986/010";;"BZO 1986-87";;;;"1989";"70-71"
"PA/JEZBOØICE /1986/017";;"BZO 1986-87";;;;"1989";"70-71"
"PA/JEZBOØICE /1986/146";;"BZO 1986-87";;;;"1989";"70-71"
"PA/JEZBOØICE /1986/153";;"BZO 1986-87";;;;"1989";"70-71"
"PA/JEZBOØICE /1986/258";;"BZO 1986-87";;;;"1989";"70-71"
"PA/JEZBOØICE /1986/304";;"BZO 1986-87";;;;"1989";"70-71"
"PA/JEZBOØICE /1986/945";;"BZO 1986-87";;;;"1989";"70-71"
"PB/HØIMÌDICE/1986/204";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1986/803";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1986/835";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1986/841";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1987/144";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1987/158";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1987/216";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1987/221";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1987/234";;"BZO 1986-87";;;;"1989";"59-60"
"PB/HØIMÌDICE/1987/849";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1987/855";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1987/901";;"BZO 1986-87";;;;"1989";"59-61"
"PB/HØIMÌDICE/1987/907";;"BZO 1986-87";;;;"1989";"59-61"
"PB/KOLVÍN    /1986/234";;"BZO 1986-87";;;;"1989";"80"
"PB/KONÌTOPY  /1986/851";;"BZO 1986-87";;;;"1989";"80-81"
"PJ/STARİ PLZE/1998/407";;"BZO 1986-87";;;;"1989";"188"
"RA/KNÌEVES  /1987/806";;"BZO 1986-87";;;;"1989";"78"
"RA/KØIVOKLÁT /1987/051";;"BZO 1986-87";;;;"1989";"89-91"
"RA/KØIVOKLÁT /1987/116";;"BZO 1986-87";;;;"1989";"89-91"
"RA/KØIVOKLÁT /1987/151";;"BZO 1986-87";;;;"1989";"89-91"
"RK/KAMENICE  /1987/338";;"BZO 1986-87";;;;"1989";"76"
"RK/KOSTELEC N/1987/255";;"BZO 1986-87";;;;"1989";"82"
"SM/HORNÍ ŠTÌP/1987/209";;"BZO 1986-87";;;;"1989";"50-51"
"SM/MØÍÈNÁ    /1986/830";;"BZO 1986-87";;;;"1989";"227"
"SM/OLEŠNICE  /1987/832";;"BZO 1986-87";;;;"1989";"84"
"SM/PASEKY NAD/1986/220";;"BZO 1986-87";;;;"1989";"227"
"SM/SKLENAØICE/1986/202";;"BZO 1986-87";;;;"1989";"227"
"SY/JAROMÌØICE/1986/938";;"BZO 1986-87";;;;"1989";"66-67"
"TP/HRDLOVKA  /1986/125";;"BZO 1986-87";;;;"1989";"57"
"TP/HRDLOVKA  /1986/146";;"BZO 1986-87";;;;"1989";"57"
"TP/HRDLOVKA  /1986/152";;"BZO 1986-87";;;;"1989";"57"
"TP/HRDLOVKA  /1986/200";;"BZO 1986-87";;;;"1989";"57"
"TP/HRDLOVKA  /1987/119";;"BZO 1986-87";;;;"1989";"57"
"TP/HRDLOVKA  /1987/216";;"BZO 1986-87";;;;"1989";"57-58"
"TP/JENIŠÙV ÚJ/1986/119";;"BZO 1986-87";;;;"1989";"68-9"
"TP/JENIŠÙV ÚJ/1986/146";;"BZO 1986-87";;;;"1989";"68-9"
"TP/JENIŠÙV ÚJ/1986/213";;"BZO 1986-87";;;;"1989";"68-69"
"TP/JENIŠÙV ÚJ/1986/221";;"BZO 1986-87";;;;"1989";"68-69"
"TP/KRUPKA    /1986/913";;"BZO 1986-87";;;;"1989";"87"
"TP/MOLDAVA   /1986/321";;"BZO 1986-87";;;;"1989";"227"
"TU/CHOUSTNÍKO/1986/334";;"BZO 1986-87";;;;"1989";"63-4"
"TU/JAVORNÍK  /1987/947";;"BZO 1986-87";;;;"1989";"67"
"UL/KOŠTOV    /1987/856";;"BZO 1986-87";;;;"1989";"83"
"UO/HRUŠOVÁ   /1986/549";;"BZO 1986-87";;;;"1989";"59"
"UO/TISOVÁ    /1986/205";;"BZO 1986-87";;;;"1989";"226-7-8"
"KO/KOSTELEC N/1987/549";;"BZO 1986";;;;;
"NB/PODÌBRADY /1986/145";;"BZO 1985";;;;;
"JC/DOUBRAVA  /    /937";;"BZO 1984-85, str.95";;;;;
"JC/DOUBRAVA  /    /938";;"BZO 1984-85, str.95";;;;;
"JC/TØEBNOUŠEV/    /811";;"BZO 1984-85, str.515";;;;;
"JC/TØEBNOUŠEV/    /812";;"BZO 1984-85, str.515";;;;;
"HK/OHNIŠANY /    /714";;"BZO 1984-85, str.340 - 1985";;;;;
"ST/HORNÍ POØÍ/1987/314";;"BZO 1984-85 Dolní Poøíèí";;;;"1987";
"BE/BROUMY    /1987/918";;"BZO 1984-85";;;;;
"BE/TOÈNÍK    /1987/324";;"BZO 1984-85";;;;;
"CB/TİN NAD VL/1985/812";;"BZO 1984-85";;;;;
"CB/ZLIV      /1985/842";;"BZO 1984-85";;;;"1987";"235"
"CR/HROCHÙV Tİ/1985/557";;"BZO 1984-85";;;;"1987";
"CR/HROCHÙV Tİ/1985/605";;"BZO 1984-85";;;;"1987";
"CR/HROCHÙV Tİ/1985/612";;"BZO 1984-85";;;;"1987";
"CR/HROCHÙV Tİ/1985/655";;"BZO 1984-85";;;;"1987";
"CR/HROCHÙV Tİ/1985/700";;"BZO 1984-85";;;;"1987";
"CR/HROCHÙV Tİ/1985/711";;"BZO 1984-85";;;;"1987";
"CV/ÈEJKOVICE /1985/411";;"BZO 1984-85";;;;"1975";"20"
"CV/DROUKOVIC/1986/835";;"BZO 1984-85";;;;"1987";"44"
"JC/MILOVICE  /1996/315";;"BZO 1984-85";;;;"1987";"123"
"JH/JINDØICHÙV/1986/600";;"BZO 1984-85";;;;"1987";
"JH/JINDØICHÙV/1987/642";;"BZO 1984-85";;;;"1987";
"KL/MAKOTØASY /1987/734";;"BZO 1984-85";;;;"1987";"116-117"
"KL/UHY       /1984/944";;"BZO 1984-85";;;;"1987";"217-8"
"KO/KOSTELEC N/1987/549";;"BZO 1984-85";;;;"1987";
"LN/KLIÈÍN    /1986/719";;"BZO 1984-85";;;;"1987";"80"
"LN/KLIÈÍN    /1986/810";;"BZO 1984-85";;;;"1987";
"P1/PRAHA - HR/1986/244";;"BZO 1984-85";;;;;"158"
"P1/PRAHA - HR/1986/304";;"BZO 1984-85";;;;"1987";"159"
"P1/PRAHA - HR/1986/305";;"BZO 1984-85";;;;"1987";"158"
"P1/PRAHA - HR/1986/347";;"BZO 1984-85";;;;;"158"
"P1/PRAHA - HR/1986/357";;"BZO 1984-85";;;;;"158"
"P1/PRAHA - HR/1986/740";;"BZO 1984-85";;;;;"160"
"P1/PRAHA - HR/1987/147";;"BZO 1984-85";;;;;
"P1/PRAHA - HR/1987/322";;"BZO 1984-85";;;;;"160-161"
"P1/PRAHA - HR/1987/700";;"BZO 1984-85";;;;;
"P1/PRAHA - HR/1987/746";;"BZO 1984-85";;;;;"158"
"P5/PRAHA - ZB/1985/116";;"BZO 1984-85";;;;;"171"
"P9/PRAHA - HO/1986/704";;"BZO 1984-85";;;;;
"PI/KRAŠOVICE /1987/822";;"BZO 1984-85";;;;;"92"
"PV/BRANDİS NA/1984/208";;"BZO 1984-85";;;;"1987";"19"
"PZ/CHİNOV    /1987/656";;"BZO 1984-85";;;;"1987";"67"
"PZ/MALÉ ÈÍÈOV/1987/809";;"BZO 1984-85";;;;;"120"
"RA/KØIVOKLÁT /1986/333";;"BZO 1984-85";;;;;
"SM/OLEŠNICE  /1987/832";;"BZO 1984-85";;;;"1987";"141"
"TA/SEZIMOVO Ú/1986/133";;"BZO 1984-85";;;;;"189"
"TA/SEZIMOVO Ú/1987/531";;"BZO 1984-85";;;;;"189"
"KO/HRADOVÉ ST/1987/229";;"BZO 1984-5";;;;;
"P5/PRAHA - HL/1986/132";;"BZO 1984-1985";;;;;
"PB/STÌOV    /1987/451";;"BZO 1984-1985";;;;;
"PZ/HOLUBICE  /1986/710";;"BZO 1984-1985";;;;;"50"
"ST/HÁJSKÁ    /1987/254";;"BZO 1984-1985";;;;;
"TP/KUÈLÍN    /1984/344";;"BZO 1984/85, 96 (230)";;;;;
"LN/KAŠTICE   /1985/340";;"BZO 1984/85, 77 (185)";;;;;
"LN/KAŠTICE   /1984/341";;"BZO 1984/85, 76 (185)";;;;;
"LN/CHUDEØÍN  /1985/336";;"BZO 1984/85, 67 (159)";;;;;
"LN/CHOTÌBUDIC/1984/335";;"BZO 1984/85, 63 (153)";;;;;
"LN/CHOTÌBUDIC/1985/335";;"BZO 1984/85, 63 (153)";;;;;
"MO/HOØANY    /1984/331";;"BZO 1984/85, 54 (127a/b)";;;;;
"MO/HOØANY    /1984/330";;"BZO 1984/85, 54 (127a/a)";;;;;
"DC/DÌÈÍN     /1985/326";;"BZO 1984/85, 37 (75b)";;;;;
"DC/DÌÈÍN     /1985/325";;"BZO 1984/85, 37 (75a)";;;;;
"DC/DÌÈÍN     /1984/325";;"BZO 1984/85, 37 (75)";;;;;
"CV/ÈEJKOVICE /1985/323";;"BZO 1984/85, 28 (47c)- jen knovízská k.";;;;;
"CV/ÈEJKOVICE /1985/324";;"BZO 1984/85, 28 (47b)- jen knovízská k.";;;;;
"CV/ÈEJKOVICE /1984/323";;"BZO 1984/85, 28 (47a)";;;;;
"CV/VINTÍØOV  /1984/517";;"BZO 1984/85, 224 (549b)";;;;;
"CV/VINTÍØOV  /1984/516";;"BZO 1984/85, 224 (549a)";;;;;
"CV/VIDOLICE  /1984/502";;"BZO 1984/85, 224 (547)";;;;;
"LN/VELEMYŠLEV/1984/454";;"BZO 1984/85, 219 (534)";;;;;
"LN/VELEMYŠLEV/1984/455";;"BZO 1984/85, 219 (534)";;;;;
"LN/VELEMYŠLEV/1985/454";;"BZO 1984/85, 219 (534)";;;;;
"CV/VADKOVICE /1984/450";;"BZO 1984/85, 219 (533b)";;;;;
"CV/VADKOVICE /1984/451";;"BZO 1984/85, 219 (533b)";;;;;
"CV/VADKOVICE /1984/449";;"BZO 1984/85, 219 (533a)";;;;;
"CV/ÚHOŠ     /1985/447";;"BZO 1984/85, 217 (527)";;;;;
"CV/BRANY     /1984/322";;"BZO 1984/85, 21 (28c)- jen knovízská k.";;;;;
"CV/BRANY     /1984/323";;"BZO 1984/85, 21 (28c)";;;;;
"LN/SİROVICE  /1985/437";;"BZO 1984/85, 203 (489)";;;;;
"CV/BRANY     /1984/320";;"BZO 1984/85, 20 (28a)- jen knovízská k.";;;;;
"CV/BRANY     /1984/321";;"BZO 1984/85, 20 (28a)";;;;;
"CV/STRUPÈICE /1985/437";;"BZO 1984/85, 199 (472b)";;;;;
"CV/STRUPÈICE /1985/438";;"BZO 1984/85, 198 (472a)";;;;;
"CV/SOBÌSUKY  /1985/432";;"BZO 1984/85, 193 (459b)";;;;;
"CV/RADONICE  /1984/425";;"BZO 1984/85, 179 (426)";;;;;
"LN/PODBOØANY /1985/412";;"BZO 1984/85, 151 (371c)";;;;;
"LN/PODBOØANY /1985/413";;"BZO 1984/85, 150 (371a)";;;;;
"CV/PÌTIPSY   /1984/410";;"BZO 1984/85, 145 (355)";;;;;
"LN/OPLOTY    /1984/405";;"BZO 1984/85, 141 (343b)";;;;;
"LN/NOVÉ SEDLO/1985/404";;"BZO 1984/85, 137 (332b)";;;;;
"LN/NOVÉ SEDLO/1985/403";;"BZO 1984/85, 137 (332a)";;;;;
"CV/NAŠÍ      /1984/359";;"BZO 1984/85, 132 (315)";;;;;
"LN/MORY      /1985/355";;"BZO 1984/85, 127 (305)- jen pravìk";;;;;
"MO/MALÉ BØEZN/1985/351";;"BZO 1984/85, 118 (280b)";;;;;
"CV/LIBOUŠ    /1984/348";;"BZO 1984/85, 107 (252)";;;;;
"LN/LIBOÈANY  /1985/348";;"BZO 1984/85, 107 (250)";;;;;
"CV/LIBÌDICE  /1984/346";;"BZO 1984/85, 105 (245)";;;;;
"BN/BENEŠOV   /    /357";;"BZO 1984";;;;;
"BE/TOÈNÍK    /1987/037";;"BZO 1983-84";;;;;
"HK/CHLUM     /    /721";;"BZO 1983 - 1982, 121. Vávra M.";;;;;
"BN/ÈTYØKOLY  /    /396";;"BZO 1983";;;;;
"BN/TRHOVİ ŠTÌ/1984/005";;"BZO 1983";;;;;
"KO/KOSTELEC N/1985/037";;"BZO 1983";;;;;
"LN/PNÌTLUKY  /1984/134";;"BZO 1983";;;;;
"MO/VELEBUDICE/    /291";;"BZO 1982-93, str.192";;;;;
"MO/MALÉ BØEZN/    /121";;"BZO 1982-83. str.203";;;;;
"HK/HOLOHLAVY /    /216";;"BZO 1982-83,è.91. Boèek,Kalferst";;;;;
"HK/HOLOHLAVY /    /217";;"BZO 1982-83,è.91. Boèek,Kalferst";;;;;
"NB/POØÍÈANY  /    /661";;"BZO 1982-83,c.334a,134";;;;;
"NA/HORNÍ DOLC/    /932";;"BZO 1982-83,95. Kalferst";;;;;
"NA/HORNÍ DOLC/    /933";;"BZO 1982-83,95. Kalferst";;;;;
"LT/LOVOSICE  /    /315";;"BZO 1982-83,95 (V.Salac)";;;;;
"LT/LOVOSICE  /    /317";;"BZO 1982-83,95";;;;;
"SO/LOKET     /    /020";;"BZO 1982-83,93-94";;;;;
"JC/BÍLSKO U H/    /412";;"BZO 1982-83,9";;;;;
"MB/BEZNO     /    /716";;"BZO 1982-83,9";;;;;
"BE/LÁOVICE  /    /132";;"BZO 1982-83,78 (Matousek V.)";;;;;
"PE/LESKOVICE /    /093";;"BZO 1982-83,78";;;;;
"KL/KOVÁRY    /    /418";;"BZO 1982-83,67(I.Krutina)";;;;;
"NB/KOUNICE   /    /423";;"BZO 1982-83,65";;;;;
"CH/CHEB      /    /687";;"BZO 1982-83,44";;;;;
"CH/CHEB      /    /692";;"BZO 1982-83,44";;;;;
"TP/HROBÈICE  /    /783";;"BZO 1982-83,42-43";;;;;
"TP/HROBÈICE  /    /786";;"BZO 1982-83,42-43";;;;;
"PZ/HOLUBICE  /    /452";;"BZO 1982-83,36";;;;;
"RK/MOKRÉ     /    /077";;"BZO 1982-83,265";;;;;
"PJ/INKOVY   /    /675";;"BZO 1982-83,211";;;;;
"TP/ICHOV    /    /093";;"BZO 1982-83,211";;;;;
"TA/VESELÍ NAD/    /491";;"BZO 1982-83,195";;;;;
